iter	Passed	Remaining
0	0	855
1	1	783
2	2	745
3	2	701
4	3	691
5	4	705
6	5	730
7	5	726
8	6	727
9	7	726
10	8	719
11	8	725
12	9	718
13	10	714
14	11	779
15	12	777
16	13	785
17	14	787
18	15	787
19	15	780
20	16	775
21	17	782
22	18	785
23	19	779
24	19	771
25	20	776
26	21	778
27	22	781
28	23	775
29	24	784
30	25	790
31	25	784
32	26	779
33	27	773
34	27	767
35	28	760
36	28	753
37	29	750
38	30	755
39	31	752
40	31	747
41	32	744
42	33	740
43	33	735
44	34	730
45	34	724
46	35	722
47	36	726
48	37	723
49	37	719
50	38	715
51	39	713
52	39	708
53	40	704
54	40	701
55	41	697
56	41	694
57	42	695
58	43	693
59	44	690
60	44	687
61	45	684
62	45	683
63	46	679
64	47	676
65	47	675
66	48	678
67	49	679
68	50	678
69	50	676
70	51	674
71	52	672
72	52	671
73	53	668
74	54	668
75	55	669
76	55	668
77	56	666
78	56	664
79	57	661
80	58	659
81	58	657
82	59	652
83	59	649
84	60	648
85	60	647
86	61	646
87	62	644
88	62	643
89	63	641
90	63	638
91	64	636
92	65	633
93	65	633
94	66	632
95	67	633
96	68	633
97	68	632
98	69	630
99	69	628
100	70	627
101	71	625
102	71	623
103	72	622
104	73	623
105	73	622
106	74	620
107	74	619
108	75	617
109	76	616
110	76	614
111	77	612
112	77	611
113	78	609
114	79	609
115	80	609
116	80	607
117	81	610
118	82	609
119	82	608
120	83	606
121	83	604
122	84	602
123	85	602
124	86	603
125	86	602
126	87	600
127	87	599
128	88	597
129	89	596
130	89	594
131	90	593
132	90	591
133	91	592
134	92	592
135	92	590
136	93	588
137	94	587
138	94	586
139	95	584
140	95	583
141	96	580
142	96	580
143	97	580
144	98	580
145	99	579
146	99	577
147	100	576
148	100	575
149	101	574
150	101	572
151	102	571
152	103	571
153	104	572
154	104	571
155	105	569
156	105	568
157	106	566
158	106	565
159	107	564
160	107	562
161	108	561
162	109	559
163	109	560
164	110	559
165	111	558
166	111	557
167	112	556
168	112	555
169	113	554
170	114	552
171	114	551
172	115	551
173	116	551
174	116	550
175	117	549
176	117	548
177	118	547
178	119	546
179	119	545
180	120	543
181	120	542
182	121	542
183	122	542
184	122	541
185	123	540
186	123	538
187	124	537
188	125	537
189	125	535
190	126	534
191	126	533
192	127	532
193	128	532
194	128	532
195	129	531
196	130	530
197	130	528
198	131	527
199	131	526
200	132	525
201	132	524
202	133	523
203	134	522
204	134	522
205	135	521
206	135	520
207	136	519
208	136	518
209	137	517
210	138	516
211	138	515
212	139	514
213	139	514
214	140	513
215	141	512
216	141	511
217	142	510
218	142	509
219	143	508
220	144	507
221	144	506
222	145	505
223	145	505
224	146	504
225	147	503
226	147	502
227	148	501
228	148	500
229	149	499
230	149	498
231	150	497
232	151	497
233	151	496
234	152	495
235	152	495
236	153	494
237	154	493
238	154	492
239	155	491
240	155	490
241	156	489
242	156	488
243	157	487
244	158	486
245	158	486
246	159	485
